station,years,longitude,latitude,total_crimes,murder,rape,robbery,assault_gbh,carjacking,property_crime,contact_crime
babanango,2022,31.08263,-28.37593,268,13,18,22,42,2,91,88
badplaas,2008,30.56857,-25.95836,439,2,15,39,46,2,221,116
badplaas,2009,30.56857,-25.95836,450,2,10,39,37,1,249,98
badplaas,2010,30.56857,-25.95836,444,1,14,51,43,0,210,125
badplaas,2011,30.56857,-25.95836,387,5,8,14,40,1,184,113
badplaas,2012,30.56857,-25.95836,363,4,7,23,41,0,164,94
badplaas,2013,30.56857,-25.95836,329,0,9,21,44,0,155,85
badplaas,2014,30.56857,-25.95836,340,1,5,25,52,0,128,99
badplaas,2015,30.56857,-25.95836,315,2,10,10,51,0,142,89
badplaas,2016,30.56857,-25.95836,403,5,3,26,50,1,191,90
badplaas,2017,30.56857,-25.95836,409,0,10,19,42,1,204,89
badplaas,2018,30.56857,-25.95836,387,4,14,31,40,3,188,84
badplaas,2019,30.56857,-25.95836,385,3,13,35,40,1,199,84
badplaas,2020,30.56857,-25.95836,434,8,9,29,42,0,220,103
badplaas,2021,30.56857,-25.95836,425,4,9,62,49,1,210,103
badplaas,2022,30.56857,-25.95836,423,7,8,74,36,6,198,76
bainsvlei,2008,26.12837,-29.06613,1159,7,24,48,109,0,655,309
bainsvlei,2009,26.12837,-29.06613,1203,8,25,44,97,1,721,274
bainsvlei,2010,26.12837,-29.06613,1203,3,23,31,96,1,692,291
bainsvlei,2011,26.12837,-29.06613,1178,1,35,38,71,3,695,245
bainsvlei,2012,26.12837,-29.06613,1200,7,25,37,83,0,765,252
bainsvlei,2013,26.12837,-29.06613,1258,7,24,45,75,2,825,226
bainsvlei,2014,26.12837,-29.06613,1060,6,19,32,52,2,669,186
bainsvlei,2015,26.12837,-29.06613,1080,4,26,44,52,1,587,160
bainsvlei,2016,26.12837,-29.06613,971,4,12,20,39,0,550,155
bainsvlei,2017,26.12837,-29.06613,1076,3,14,31,55,1,644,157
bainsvlei,2018,26.12837,-29.06613,1182,9,19,26,53,0,719,169
bainsvlei,2019,26.12837,-29.06613,1074,5,18,36,45,1,704,147
bainsvlei,2020,26.12837,-29.06613,839,2,10,38,35,1,461,127
bainsvlei,2021,26.12837,-29.06613,954,4,12,28,36,0,547,160
bainsvlei,2022,26.12837,-29.06613,952,5,17,27,39,1,630,163
balfour,2008,26.67652,-32.53628,151,2,8,9,44,0,65,63
balfour,2009,26.67652,-32.53628,149,2,13,8,53,0,53,72
balfour,2010,26.67652,-32.53628,119,1,4,5,37,0,55,49
balfour,2011,26.67652,-32.53628,136,2,9,5,31,0,59,49
balfour,2012,26.67652,-32.53628,162,2,5,3,46,0,73,62
balfour,2013,26.67652,-32.53628,151,2,13,1,38,0,60,59
balfour,2014,26.67652,-32.53628,152,5,10,9,33,0,56,56
balfour,2015,26.67652,-32.53628,142,5,6,4,37,1,49,55
balfour,2016,26.67652,-32.53628,159,2,8,4,31,0,74,49
balfour,2017,26.67652,-32.53628,166,3,1,1,30,0,88,44
balfour,2018,26.67652,-32.53628,169,2,8,0,35,0,77,57
balfour,2019,26.67652,-32.53628,177,6,7,5,43,0,88,59
balfour,2020,26.67652,-32.53628,163,6,8,5,36,0,68,58
balfour,2021,26.67652,-32.53628,136,4,3,4,38,0,53,52
balfour,2022,26.67652,-32.53628,142,6,8,1,30,0,59,54
"balfour tvl",2008,28.58695,-26.66282,1019,6,45,85,161,12,475,314
"balfour tvl",2009,28.58695,-26.66282,1121,6,35,107,150,6,562,292
"balfour tvl",2010,28.58695,-26.66282,1314,13,47,124,179,11,640,336
"balfour tvl",2011,28.58695,-26.66282,1239,3,42,135,149,14,611,285
"balfour tvl",2012,28.58695,-26.66282,1217,9,35,97,130,4,620,248
"balfour tvl",2013,28.58695,-26.66282,929,11,16,80,98,2,455,192
"balfour tvl",2014,28.58695,-26.66282,1084,3,17,123,133,11,516,225
"balfour tvl",2015,28.58695,-26.66282,1111,7,13,103,125,10,564,222
"balfour tvl",2016,28.58695,-26.66282,1162,6,12,125,115,12,533,213
"balfour tvl",2017,28.58695,-26.66282,1076,5,16,96,107,8,509,209
"balfour tvl",2018,28.58695,-26.66282,1261,5,13,136,126,15,630,234
"balfour tvl",2019,28.58695,-26.66282,1200,8,21,145,122,9,552,228
"balfour tvl",2020,28.58695,-26.66282,1088,7,23,95,91,3,486,197
"balfour tvl",2021,28.58695,-26.66282,1004,5,21,120,96,15,381,175
"balfour tvl",2022,28.58695,-26.66282,945,9,21,87,78,15,380,146
bandelierkop,2008,29.8039,-23.3176,1,0,0,0,0,0,0,0
bandelierkop,2009,29.8039,-23.3176,1,0,0,0,0,0,0,0
bandelierkop,2010,29.8039,-23.3176,1,0,0,0,0,0,0,0
bandelierkop,2011,29.8039,-23.3176,1,0,0,0,0,0,0,0
bandelierkop,2012,29.8039,-23.3176,1,0,0,0,0,0,0,0
bandelierkop,2013,29.8039,-23.3176,13,0,0,0,0,0,0,0
bandelierkop,2014,29.8039,-23.3176,13,0,0,0,0,0,0,0
bandelierkop,2015,29.8039,-23.3176,13,0,0,0,0,0,0,0
bandelierkop,2016,29.8039,-23.3176,13,0,0,0,0,0,0,0
bandelierkop,2017,29.8039,-23.3176,13,0,0,0,0,0,0,0
bandelierkop,2018,29.8039,-23.3176,352,3,10,49,29,3,156,63
bandelierkop,2019,29.8039,-23.3176,368,1,7,56,28,2,156,66
bandelierkop,2020,29.8039,-23.3176,354,1,5,44,30,2,161,57
bandelierkop,2021,29.8039,-23.3176,516,3,10,71,35,11,256,107
bandelierkop,2022,29.8039,-23.3176,366,1,9,22,61,1,133,124
barberton,2008,31.05178,-25.79074,2400,9,53,168,588,6,987,916
barberton,2009,31.05178,-25.79074,2461,31,92,239,504,9,1020,926
barberton,2010,31.05178,-25.79074,2328,8,71,160,436,5,1057,780
barberton,2011,31.05178,-25.79074,2559,9,70,204,418,4,1201,781
barberton,2012,31.05178,-25.79074,2226,9,68,171,318,9,967,678
barberton,2013,31.05178,-25.79074,2036,11,78,150,244,1,896,558
barberton,2014,31.05178,-25.79074,2077,19,48,172,272,1,824,546
barberton,2015,31.05178,-25.79074,1932,14,74,154,206,2,805,441
barberton,2016,31.05178,-25.79074,1864,16,53,170,208,5,772,460
barberton,2017,31.05178,-25.79074,2275,27,48,265,261,10,968,563
barberton,2018,31.05178,-25.79074,2321,19,58,221,264,9,1073,587
barberton,2019,31.05178,-25.79074,2506,33,48,336,287,18,1039,664
barberton,2020,31.05178,-25.79074,2148,27,56,324,248,13,846,596
barberton,2021,31.05178,-25.79074,2342,23,67,410,299,23,969,633
barberton,2022,31.05178,-25.79074,2536,37,52,425,362,15,966,741
"barkly east",2008,27.59774,-30.96913,330,4,10,9,100,1,148,124
"barkly east",2009,27.59774,-30.96913,364,2,13,11,101,0,162,129
"barkly east",2010,27.59774,-30.96913,355,3,10,9,83,0,165,110
"barkly east",2011,27.59774,-30.96913,493,10,17,21,115,0,219,157
"barkly east",2012,27.59774,-30.96913,454,7,15,7,85,0,181,121
"barkly east",2013,27.59774,-30.96913,411,6,16,4,81,0,179,114
"barkly east",2014,27.59774,-30.96913,415,6,13,22,91,0,173,126
"barkly east",2015,27.59774,-30.96913,449,8,14,18,124,0,180,160
"barkly east",2016,27.59774,-30.96913,444,7,26,18,110,0,188,159
"barkly east",2017,27.59774,-30.96913,441,6,13,25,120,1,170,162
"barkly east",2018,27.59774,-30.96913,430,5,23,12,83,0,203,129
"barkly east",2019,27.59774,-30.96913,430,9,15,16,98,0,201,133
"barkly east",2020,27.59774,-30.96913,384,5,16,20,78,0,174,117
"barkly east",2021,27.59774,-30.96913,447,9,20,24,108,0,189,158
"barkly east",2022,27.59774,-30.96913,542,9,17,25,129,0,252,185
"barkly west",2008,24.52533,-28.53715,548,12,18,18,109,0,235,215
"barkly west",2009,24.52533,-28.53715,655,5,23,26,170,0,246,298
"barkly west",2010,24.52533,-28.53715,602,5,11,30,105,0,286,190
"barkly west",2011,24.52533,-28.53715,578,2,22,10,114,0,286,202
"barkly west",2012,24.52533,-28.53715,498,3,17,27,97,0,186,180
"barkly west",2013,24.52533,-28.53715,544,7,20,25,83,0,196,170
"barkly west",2014,24.52533,-28.53715,689,11,23,31,123,0,259,219
"barkly west",2015,24.52533,-28.53715,687,4,16,47,118,0,277,204
"barkly west",2016,24.52533,-28.53715,688,4,13,44,87,0,307,158
"barkly west",2017,24.52533,-28.53715,740,4,17,52,94,1,279,166
"barkly west",2018,24.52533,-28.53715,938,2,17,15,110,0,253,252
"barkly west",2019,24.52533,-28.53715,873,4,6,12,115,0,220,251
"barkly west",2020,24.52533,-28.53715,742,4,12,19,80,0,246,231
"barkly west",2021,24.52533,-28.53715,647,4,17,7,131,0,208,248
"barkly west",2022,24.52533,-28.53715,711,3,12,17,88,0,277,224
barrydale,2008,20.72117,-33.90276,479,1,13,0,85,0,100,162
barrydale,2009,20.72117,-33.90276,504,1,16,0,85,0,98,166
barrydale,2010,20.72117,-33.90276,523,1,15,6,82,0,84,170
barrydale,2011,20.72117,-33.90276,415,4,11,3,60,0,65,155
barrydale,2012,20.72117,-33.90276,434,1,12,2,66,0,78,157
barrydale,2013,20.72117,-33.90276,544,1,6,4,103,0,84,196
barrydale,2014,20.72117,-33.90276,579,2,2,10,98,0,81,194
barrydale,2015,20.72117,-33.90276,596,1,7,12,78,0,102,170
barrydale,2016,20.72117,-33.90276,534,0,8,6,49,0,98,110
barrydale,2017,20.72117,-33.90276,525,2,4,13,67,0,134,158
barrydale,2018,20.72117,-33.90276,425,0,7,12,67,0,136,127
barrydale,2019,20.72117,-33.90276,388,1,8,5,71,0,93,150
barrydale,2020,20.72117,-33.90276,343,2,8,5,51,0,101,126
barrydale,2021,20.72117,-33.90276,355,2,3,7,60,0,103,115
barrydale,2022,20.72117,-33.90276,432,0,16,2,44,0,107,144
batho,2008,26.22531,-29.13468,1135,5,32,121,180,2,351,478
batho,2009,26.22531,-29.13468,994,6,22,123,176,6,310,390
batho,2010,26.22531,-29.13468,934,9,37,101,187,5,261,418
batho,2011,26.22531,-29.13468,923,8,33,100,163,5,269,365
batho,2012,26.22531,-29.13468,1001,7,39,86,166,2,248,409
batho,2013,26.22531,-29.13468,876,2,36,79,140,7,207,368
batho,2014,26.22531,-29.13468,813,9,25,76,122,8,215,306
batho,2015,26.22531,-29.13468,829,16,14,55,117,0,192,317
batho,2016,26.22531,-29.13468,768,9,24,59,93,3,221,227
batho,2017,26.22531,-29.13468,867,8,19,91,111,5,206,309
batho,2018,26.22531,-29.13468,745,13,22,79,116,2,199,307
batho,2019,26.22531,-29.13468,746,10,28,86,123,3,197,319
batho,2020,26.22531,-29.13468,567,3,17,73,85,2,171,201
batho,2021,26.22531,-29.13468,595,8,10,84,95,4,197,227
batho,2022,26.22531,-29.13468,625,5,24,55,94,3,182,272
bathurst,2008,26.83917,-33.50484,450,3,16,12,85,0,255,128
bathurst,2009,26.83917,-33.50484,482,3,17,24,102,1,227,148
bathurst,2010,26.83917,-33.50484,433,4,20,17,80,0,197,149
bathurst,2011,26.83917,-33.50484,330,4,21,12,81,0,119,132
bathurst,2012,26.83917,-33.50484,416,4,25,51,64,4,163,118
bathurst,2013,26.83917,-33.50484,455,7,16,31,72,0,200,120
bathurst,2014,26.83917,-33.50484,362,1,9,25,47,0,172,75
bathurst,2015,26.83917,-33.50484,304,0,11,23,55,0,110,98
bathurst,2016,26.83917,-33.50484,374,4,11,23,65,0,172,102
bathurst,2017,26.83917,-33.50484,385,10,10,14,59,0,165,126
bathurst,2018,26.83917,-33.50484,484,6,17,28,70,0,217,147
bathurst,2019,26.83917,-33.50484,403,5,14,18,59,0,191,131
bathurst,2020,26.83917,-33.50484,398,2,12,22,58,0,205,112
bathurst,2021,26.83917,-33.50484,345,3,11,7,63,0,136,140
bathurst,2022,26.83917,-33.50484,382,1,18,17,61,0,154,140
batlharos,2008,23.34164,-27.30544,595,5,25,56,133,2,204,220
batlharos,2009,23.34164,-27.30544,476,2,17,32,147,0,183,198
batlharos,2010,23.34164,-27.30544,397,4,20,32,125,0,133,177
batlharos,2011,23.34164,-27.30544,535,8,27,57,142,1,239,199
batlharos,2012,23.34164,-27.30544,743,9,31,74,201,0,318,276
batlharos,2013,23.34164,-27.30544,718,4,34,79,184,1,296,251
batlharos,2014,23.34164,-27.30544,661,2,35,63,188,0,266,250
batlharos,2015,23.34164,-27.30544,660,7,43,67,230,1,202,321
batlharos,2016,23.34164,-27.30544,649,5,27,66,213,0,203,287
batlharos,2017,23.34164,-27.30544,623,14,34,76,196,0,150,292
batlharos,2018,23.34164,-27.30544,564,6,30,56,164,3,172,241
batlharos,2019,23.34164,-27.30544,476,7,31,53,144,1,130,217
batlharos,2020,23.34164,-27.30544,492,8,32,50,134,1,148,210
batlharos,2021,23.34164,-27.30544,534,6,21,37,155,2,177,239
batlharos,2022,23.34164,-27.30544,706,4,51,45,120,3,303,256
baviaanskloof,2008,23.98058,-33.53938,40,0,1,0,4,0,16,14
baviaanskloof,2009,23.98058,-33.53938,35,0,0,1,3,0,14,13
baviaanskloof,2010,23.98058,-33.53938,19,0,1,0,3,0,4,5
baviaanskloof,2011,23.98058,-33.53938,19,1,0,0,0,0,7,2
baviaanskloof,2012,23.98058,-33.53938,16,0,0,0,2,0,5,3
baviaanskloof,2013,23.98058,-33.53938,45,0,3,0,5,0,14,11
baviaanskloof,2014,23.98058,-33.53938,42,1,0,2,3,0,12,6
baviaanskloof,2015,23.98058,-33.53938,35,0,0,0,1,0,8,5
baviaanskloof,2016,23.98058,-33.53938,32,0,1,0,1,0,10,4
baviaanskloof,2017,23.98058,-33.53938,37,1,0,0,3,0,4,11
baviaanskloof,2018,23.98058,-33.53938,32,1,0,1,1,0,9,5
baviaanskloof,2019,23.98058,-33.53938,26,0,1,0,2,0,5,7
baviaanskloof,2020,23.98058,-33.53938,29,0,1,0,4,0,4,8
baviaanskloof,2021,23.98058,-33.53938,27,0,0,0,0,0,8,2
baviaanskloof,2022,23.98058,-33.53938,38,0,0,1,3,0,13,4
bayswater,2008,26.23033,-29.08896,1086,1,6,58,25,2,764,116
bayswater,2009,26.23033,-29.08896,1119,2,3,92,18,2,749,118
bayswater,2010,26.23033,-29.08896,1054,1,3,52,16,2,709,92
bayswater,2011,26.23033,-29.08896,941,0,4,38,13,0,695,80
bayswater,2012,26.23033,-29.08896,1029,3,8,33,16,1,727,106
bayswater,2013,26.23033,-29.08896,1527,1,11,40,21,0,881,110
bayswater,2014,26.23033,-29.08896,1371,1,2,51,13,0,959,85
bayswater,2015,26.23033,-29.08896,1066,1,5,18,8,0,697,88
bayswater,2016,26.23033,-29.08896,1089,1,3,33,11,0,619,86
bayswater,2017,26.23033,-29.08896,983,0,10,65,10,1,567,60
bayswater,2018,26.23033,-29.08896,955,1,3,35,5,3,575,74
bayswater,2019,26.23033,-29.08896,803,2,12,23,14,1,548,74
bayswater,2020,26.23033,-29.08896,658,1,12,22,7,0,427,72
bayswater,2021,26.23033,-29.08896,875,2,8,38,11,2,532,83
bayswater,2022,26.23033,-29.08896,1058,0,4,34,9,3,690,79
bayview,2008,30.9117,-29.92278,2082,15,15,587,80,160,727,335
bayview,2009,30.9117,-29.92278,2203,6,17,386,96,107,773,392
bayview,2010,30.9117,-29.92278,2353,12,17,279,110,46,1003,379
bayview,2011,30.9117,-29.92278,2220,9,13,348,109,85,891,387
bayview,2012,30.9117,-29.92278,2157,1,12,397,97,98,940,317
bayview,2013,30.9117,-29.92278,2071,6,10,350,111,43,910,269
bayview,2014,30.9117,-29.92278,1948,13,8,345,96,71,798,237
bayview,2015,30.9117,-29.92278,1747,9,6,284,91,73,654,235
bayview,2016,30.9117,-29.92278,1654,8,8,281,62,70,595,186
bayview,2017,30.9117,-29.92278,1349,9,7,174,47,42,394,157
bayview,2018,30.9117,-29.92278,1387,11,9,244,46,48,478,193
bayview,2019,30.9117,-29.92278,1409,5,6,246,69,28,522,222
bayview,2020,30.9117,-29.92278,957,12,6,189,64,25,357,204
bayview,2021,30.9117,-29.92278,1096,12,10,186,56,33,499,201
bayview,2022,30.9117,-29.92278,1335,19,4,253,56,32,555,262
"beacon bay",2008,27.93836,-32.96884,1512,17,33,71,168,0,898,302
"beacon bay",2009,27.93836,-32.96884,1435,15,28,81,147,1,824,263
"beacon bay",2010,27.93836,-32.96884,1345,10,25,88,137,1,751,254
"beacon bay",2011,27.93836,-32.96884,1464,15,34,94,142,1,795,269
"beacon bay",2012,27.93836,-32.96884,1422,17,34,56,139,1,721,284
"beacon bay",2013,27.93836,-32.96884,1390,21,41,53,133,0,786,262
"beacon bay",2014,27.93836,-32.96884,1579,11,37,96,177,0,829,302
"beacon bay",2015,27.93836,-32.96884,1449,22,29,118,170,1,741,278
"beacon bay",2016,27.93836,-32.96884,1176,20,16,63,140,0,622,243
"beacon bay",2017,27.93836,-32.96884,1214,12,34,102,163,4,649,252
"beacon bay",2018,27.93836,-32.96884,1254,18,36,107,135,4,651,241
"beacon bay",2019,27.93836,-32.96884,1395,17,38,106,125,4,723,258
"beacon bay",2020,27.93836,-32.96884,1192,13,39,94,95,1,609,221
"beacon bay",2021,27.93836,-32.96884,1413,25,32,108,172,4,684,334
"beacon bay",2022,27.93836,-32.96884,1664,20,41,114,168,6,864,354
"beaufort west",2008,22.58486,-32.34946,3763,14,26,148,401,0,1665,996
"beaufort west",2009,22.58486,-32.34946,3844,20,70,211,399,0,1618,1066
"beaufort west",2010,22.58486,-32.34946,4118,15,93,191,420,1,1733,1171
"beaufort west",2011,22.58486,-32.34946,4343,18,61,226,411,0,2050,1108
"beaufort west",2012,22.58486,-32.34946,4277,8,47,280,401,0,2093,1046
"beaufort west",2013,22.58486,-32.34946,4850,27,39,356,465,0,2361,1205
"beaufort west",2014,22.58486,-32.34946,4883,20,54,345,408,0,2219,1220
"beaufort west",2015,22.58486,-32.34946,4630,31,59,340,378,0,2151,1124
"beaufort west",2016,22.58486,-32.34946,4074,21,46,246,333,0,1897,942
"beaufort west",2017,22.58486,-32.34946,3868,22,37,261,387,1,1753,978
"beaufort west",2018,22.58486,-32.34946,3631,11,42,203,408,0,1708,929
"beaufort west",2019,22.58486,-32.34946,3442,17,25,153,326,1,1574,844
"beaufort west",2020,22.58486,-32.34946,2979,11,20,133,276,0,1191,746
"beaufort west",2021,22.58486,-32.34946,2940,14,29,90,287,1,1199,783
"beaufort west",2022,22.58486,-32.34946,3250,14,19,114,308,1,1247,934
bedford,2008,26.08275,-32.68363,449,2,13,34,107,1,171,170
bedford,2009,26.08275,-32.68363,487,7,19,34,108,0,182,190
bedford,2010,26.08275,-32.68363,415,2,20,21,87,0,151,159
bedford,2011,26.08275,-32.68363,363,2,12,13,97,0,120,150
bedford,2012,26.08275,-32.68363,350,7,12,20,75,1,106,135
bedford,2013,26.08275,-32.68363,278,4,12,8,60,0,92,103
bedford,2014,26.08275,-32.68363,365,5,9,21,89,0,117,144
bedford,2015,26.08275,-32.68363,390,4,14,14,83,0,149,127
bedford,2016,26.08275,-32.68363,353,1,14,11,59,0,129,93
bedford,2017,26.08275,-32.68363,387,2,5,18,65,0,143,103
bedford,2018,26.08275,-32.68363,442,2,12,16,73,0,171,106
bedford,2019,26.08275,-32.68363,354,5,9,25,42,0,123,86
bedford,2020,26.08275,-32.68363,292,3,2,10,53,0,133,87
bedford,2021,26.08275,-32.68363,285,4,6,12,51,0,122,101
bedford,2022,26.08275,-32.68363,242,2,6,10,40,0,96,79
bedfordview,2008,28.13719,-26.1796,4402,8,11,648,73,50,2625,347
bedfordview,2009,28.13719,-26.1796,4180,7,8,645,62,45,2430,307
bedfordview,2010,28.13719,-26.1796,3738,6,17,497,93,41,2175,318
bedfordview,2011,28.13719,-26.1796,3247,3,6,394,67,23,1900,288
bedfordview,2012,28.13719,-26.1796,3181,3,12,433,63,25,1942,239
bedfordview,2013,28.13719,-26.1796,3551,8,11,497,50,33,2100,233
bedfordview,2014,28.13719,-26.1796,3878,4,15,542,55,21,2203,241
bedfordview,2015,28.13719,-26.1796,3642,7,9,583,46,35,2039,212
bedfordview,2016,28.13719,-26.1796,3459,5,12,671,52,68,1796,211
bedfordview,2017,28.13719,-26.1796,3318,1,4,521,47,51,1723,222
bedfordview,2018,28.13719,-26.1796,3386,5,14,532,56,46,1874,230
bedfordview,2019,28.13719,-26.1796,3133,7,7,522,44,51,1625,248
bedfordview,2020,28.13719,-26.1796,2574,6,11,591,46,89,1216,211
bedfordview,2021,28.13719,-26.1796,2515,3,8,554,61,72,1133,235
bedfordview,2022,28.13719,-26.1796,2464,6,13,542,52,80,1159,219
bedwang,2008,27.96893,-25.087,309,0,10,32,33,1,107,61
bedwang,2009,27.96893,-25.087,300,2,12,28,38,0,90,79
bedwang,2010,27.96893,-25.087,333,5,15,25,40,0,115,79
bedwang,2011,27.96893,-25.087,506,6,14,32,39,1,272,78
bedwang,2012,27.96893,-25.087,391,0,11,15,36,0,154,65
bedwang,2013,27.96893,-25.087,368,4,10,26,27,0,110,68
bedwang,2014,27.96893,-25.087,379,2,12,44,27,3,118,52
bedwang,2015,27.96893,-25.087,433,2,12,43,39,1,110,85
bedwang,2016,27.96893,-25.087,409,3,11,27,26,1,117,56
bedwang,2017,27.96893,-25.087,472,7,13,37,35,2,97,67
bedwang,2018,27.96893,-25.087,402,1,10,24,43,1,85,75
bedwang,2019,27.96893,-25.087,444,1,17,19,38,1,90,71
bedwang,2020,27.96893,-25.087,246,2,13,34,35,2,72,81
bedwang,2021,27.96893,-25.087,370,2,11,45,39,1,87,112
bedwang,2022,27.96893,-25.087,373,1,12,25,29,0,98,97
bekkersdal,2008,27.69873,-26.28711,1,0,0,0,0,0,0,0
bekkersdal,2009,27.69873,-26.28711,1,0,0,0,0,0,0,0
bekkersdal,2010,27.69873,-26.28711,1,0,0,0,0,0,0,0
bekkersdal,2011,27.69873,-26.28711,1,0,0,0,0,0,0,0
bekkersdal,2012,27.69873,-26.28711,2066,59,95,400,182,30,684,669
bekkersdal,2013,27.69873,-26.28711,2405,62,86,362,196,51,664,646
bekkersdal,2014,27.69873,-26.28711,2427,53,82,394,204,48,702,599
bekkersdal,2015,27.69873,-26.28711,2251,54,82,437,269,50,722,561
bekkersdal,2016,27.69873,-26.28711,2132,43,58,353,249,56,694,491
bekkersdal,2017,27.69873,-26.28711,2058,50,86,308,219,43,551,481
bekkersdal,2018,27.69873,-26.28711,2310,31,84,294,261,35,580,574
bekkersdal,2019,27.69873,-26.28711,2584,56,73,344,224,60,504,649
bekkersdal,2020,27.69873,-26.28711,2138,48,45,372,235,67,465,600
bekkersdal,2021,27.69873,-26.28711,2197,73,96,340,267,57,452,726
bekkersdal,2022,27.69873,-26.28711,2206,69,83,480,282,79,383,730
bela-bela,2008,28.29453,-24.87751,2297,11,47,121,210,3,1438,470
bela-bela,2009,28.29453,-24.87751,2442,11,41,156,208,3,1520,449
bela-bela,2010,28.29453,-24.87751,2105,6,40,111,156,3,1226,353
bela-bela,2011,28.29453,-24.87751,2431,9,50,130,181,1,1318,452
bela-bela,2012,28.29453,-24.87751,2602,14,42,117,164,3,1406,412
bela-bela,2013,28.29453,-24.87751,2627,10,26,100,165,1,1410,382
bela-bela,2014,28.29453,-24.87751,2997,7,29,154,203,0,1576,463
bela-bela,2015,28.29453,-24.87751,2879,10,40,155,220,0,1496,502
bela-bela,2016,28.29453,-24.87751,2936,10,51,190,251,2,1327,559
bela-bela,2017,28.29453,-24.87751,3115,10,40,161,226,5,1226,577
bela-bela,2018,28.29453,-24.87751,2963,9,31,192,214,1,1386,482
bela-bela,2019,28.29453,-24.87751,2274,11,24,157,112,1,1203,301
bela-bela,2020,28.29453,-24.87751,1919,6,30,106,68,0,907,198
bela-bela,2021,28.29453,-24.87751,2051,15,35,126,84,2,816,290
bela-bela,2022,28.29453,-24.87751,2210,12,38,119,71,1,837,283
belfast,2008,30.04588,-25.70144,966,6,18,75,132,2,508,218
belfast,2009,30.04588,-25.70144,921,2,14,67,125,2,503,203
belfast,2010,30.04588,-25.70144,889,5,18,60,116,3,491,200
belfast,2011,30.04588,-25.70144,945,3,12,68,111,1,518,188
belfast,2012,30.04588,-25.70144,1074,5,22,74,102,1,592,184
belfast,2013,30.04588,-25.70144,948,6,9,100,101,2,456,178
belfast,2014,30.04588,-25.70144,1110,5,15,91,80,2,585,178
belfast,2015,30.04588,-25.70144,1150,4,12,111,91,1,616,185
belfast,2016,30.04588,-25.70144,1192,6,16,114,93,3,621,204
belfast,2017,30.04588,-25.70144,1077,2,6,95,65,5,645,139
belfast,2018,30.04588,-25.70144,994,7,9,95,67,0,570,154
belfast,2019,30.04588,-25.70144,1013,9,9,69,62,4,611,176
belfast,2020,30.04588,-25.70144,933,9,6,75,86,1,543,192
belfast,2021,30.04588,-25.70144,1038,7,19,114,110,1,514,242
belfast,2022,30.04588,-25.70144,950,5,11,77,94,3,491,222
belhar,2008,18.64877,-33.94692,2956,5,42,309,165,5,1566,540
belhar,2009,18.64877,-33.94692,3241,8,58,387,176,3,1660,554
belhar,2010,18.64877,-33.94692,3467,11,33,351,198,2,1601,532
belhar,2011,18.64877,-33.94692,3614,14,33,263,160,0,1590,499
belhar,2012,18.64877,-33.94692,3852,26,40,309,159,9,1497,500
belhar,2013,18.64877,-33.94692,4143,34,27,373,158,6,1639,477
belhar,2014,18.64877,-33.94692,4517,30,38,430,173,16,1856,518
belhar,2015,18.64877,-33.94692,4693,36,24,420,164,11,1656,559
belhar,2016,18.64877,-33.94692,4777,19,27,364,180,15,1508,498
belhar,2017,18.64877,-33.94692,4886,26,19,314,126,19,1344,481
belhar,2018,18.64877,-33.94692,938,2,17,15,110,0,253,252
belhar,2019,18.64877,-33.94692,873,4,6,12,115,0,220,251
belhar,2020,18.64877,-33.94692,742,4,12,19,80,0,246,231
belhar,2021,18.64877,-33.94692,647,4,17,7,131,0,208,248
belhar,2022,18.64877,-33.94692,711,3,12,17,88,0,277,224
bell,2008,27.35953,-33.24744,248,4,10,30,49,0,109,78
bell,2009,27.35953,-33.24744,238,6,12,14,43,0,136,67
bell,2010,27.35953,-33.24744,254,5,13,20,49,1,139,72
bell,2011,27.35953,-33.24744,313,4,10,23,46,0,181,75
bell,2012,27.35953,-33.24744,233,3,10,19,40,0,126,58
bell,2013,27.35953,-33.24744,238,4,11,15,29,0,122,53
bell,2014,27.35953,-33.24744,196,3,7,19,27,1,91,45
bell,2015,27.35953,-33.24744,171,5,10,14,20,0,78,41
bell,2016,27.35953,-33.24744,175,3,10,15,16,0,78,40
bell,2017,27.35953,-33.24744,248,3,10,17,25,0,127,49
bell,2018,27.35953,-33.24744,305,2,9,21,29,0,180,50
bell,2019,27.35953,-33.24744,269,7,11,9,32,1,171,58
bell,2020,27.35953,-33.24744,236,4,6,22,21,0,126,45
bell,2021,27.35953,-33.24744,217,7,9,18,32,0,99,65
bell,2022,27.35953,-33.24744,190,4,9,11,29,0,86,61
bellair,2008,30.94137,-29.88968,1246,6,21,162,29,12,657,184
bellair,2009,30.94137,-29.88968,1313,3,19,166,52,27,668,165
bellair,2010,30.94137,-29.88968,1667,4,14,136,56,16,1018,164
bellair,2011,30.94137,-29.88968,2068,2,14,143,40,21,1216,171
bellair,2012,30.94137,-29.88968,2263,3,10,266,45,48,1189,168
bellair,2013,30.94137,-29.88968,1861,7,9,228,68,22,989,186
bellair,2014,30.94137,-29.88968,1655,3,5,163,50,17,915,139
bellair,2015,30.94137,-29.88968,1644,1,6,263,39,38,921,141
bellair,2016,30.94137,-29.88968,1505,6,7,266,34,35,792,127
bellair,2017,30.94137,-29.88968,1503,5,5,274,33,31,733,116
bellair,2018,30.94137,-29.88968,1738,2,7,272,47,44,1040,161
bellair,2019,30.94137,-29.88968,1644,9,6,368,49,44,793,188
